Well,Sample,ER244.Plot,Species,Mass,Knops.File.Name,pct.C,pct.N
A1,21 - Andro,21,ANDGE,3.745,586001,45.679,1.548
A2,22 - Andro,22,ANDGE,3.741,586002,46.064,1.495
A3,23 - Andro,23,ANDGE,3.565,586003,44.953,1.227
A4,24 - Andro,24,ANDGE,3.263,586004,42.463,1.255
A5,A-25,25,ANDGE,3.792,586005,44.556,1.212
A6,A-41,41,ANDGE,3.582,586006,45.313,1.143
A7,A-42,42,ANDGE,3.65,586007,43.921,1.195
A8,A-43,43,ANDGE,3.644,586008,44.084,0.824
A9,A-44,44,ANDGE,3.596,586009,45.632,1.091
A10,A-45,45,ANDGE,3.722,586010,45.318,1.017
A11,A-81,81,ANDGE,3.512,586011,44.673,1.233
A12,A-82,82,ANDGE,3.184,586012,44.911,1.1
B1,A-83,83,ANDGE,3.524,586013,45.537,0.982
B2,A-84,84,ANDGE,3.455,586014,45.33,1.171
B3,A-85,85,ANDGE,3.514,586015,46.402,1.157
B4,A-91,91,ANDGE,3.444,586016,45.835,1.49
B5,A-92,92,ANDGE,3.589,586017,45.493,1.236
B6,A-93,93,ANDGE,3.474,586018,44.937,1.091
B7,A-95,95,ANDGE,3.831,586019,43.081,0.961
B8,A-116,116,ANDGE,3.594,586020,45.73,1.234
B9,A-117,117,ANDGE,3.715,586021,45.634,1.248
B10,A-118,118,ANDGE,3.166,586022,45.125,1.259
B11,A-119,119,ANDGE,3.864,586023,.,.
B12,A-120,120,ANDGE,3.939,586024,45.068,1.432
C1,A-136,136,ANDGE,3.545,586025,44.778,1.333
C2,A-137,137,ANDGE,3.56,586026,45.029,1.181
C3,A-138,138,ANDGE,3.615,586027,44.232,1.033
C4,A-139,139,ANDGE,3.506,586028,.,.
C5,A-140,140,ANDGE,3.634,586029,45.457,1.351
C6,A-176,176,ANDGE,3.732,586030,44.951,1.051
C7,A-177,177,ANDGE,3.606,586031,44.792,1.234
C8,A-178,178,ANDGE,3.681,586032,.,.
C9,A-179,179,ANDGE,3.655,586033,44.956,1.147
C10,A-180,180,ANDGE,3.611,586034,45.002,1.114
C11,LESC-1,1,LESC,3.521,586035,48.871,2.391
C12,LESC-2,2,LESC,3.648,586036,48.598,2.644
D1,LESC-3,3,LESC,3.25,586037,48.829,2.272
D2,LESC-4,4,LESC,3.63,586038,48.189,2.415
D3,LESC-5,5,LESC,3.765,586039,47.732,1.958
D4,LESC-21,21,LESC,3.441,586040,47.015,1.884
D5,LESC-22,22,LESC,3.785,586041,45.342,1.922
D6,LESC-23,23,LESC,3.928,586042,47.405,2.134
D7,LESC-24,24,LESC,3.844,586043,47.173,2.008
D8,LESC-25,25,LESC,3.929,586044,46.92,1.77
D9,LESC ER 46,46,LESC,3.844,586045,47.402,2.277
D10,LESC ER 47,47,LESC,3.317,586046,49.66,2.517
D11,LESC ER 48,48,LESC,3.223,586047,48.204,2.223
D12,LESC ER 49,49,LESC,3.851,586048,47.539,2.134
E1,LESC ER 50,50,LESC,3.736,586049,48.12,2.081
E2,LESC ER 71,71,LESC,3.633,586050,47.2,2.025
E3,LESC ER 72,72,LESC,3.474,586051,46.547,1.7
E4,LESC ER 74,74,LESC,3.302,586052,.,.
E5,LESC ER 75,75,LESC,3.629,586053,47.824,2.03
E6,LESC ER 81,81,LESC,3.505,586054,48.363,2.293
E7,LESC ER 82,82,LESC,3.109,586055,47.195,1.982
E8,LESC ER 83,83,LESC,3.87,586056,48.301,2.148
E9,LESC ER 73,73,LESC,3.619,586057,47.069,1.847
E10,LESC ER 84,84,LESC,3.148,586058,48.328,2.439
E11,LESC ER 85,85,LESC,3.949,586059,47.165,2.484
E12,LESC ER 116,116,LESC,3.472,586060,41.131,1.846
F1,LESC ER 117,117,LESC,3.812,586061,47.104,2.4
F2,LESC ER 118,118,LESC,3.78,586062,47.239,2.192
F3,LESC ER 119,119,LESC,3.657,586063,46.902,2.104
F4,LESC ER 120,120,LESC,3.525,586064,47.812,2.203
F5,LESC ER 136,136,LESC,3.965,586065,46.998,2.418
F6,LESC ER 137,137,LESC,3.976,586066,47.745,2.367
F7,LESC ER 138,138,LESC,3.685,586067,.,.
F8,LESC ER 139,139,LESC,3.746,586068,47.587,2.292
F9,LESC ER 140,140,LESC,3.229,586069,48.66,2.229
F10,LESC ER 151,151,LESC,3.922,586070,48.832,2.464
F11,LESC ER 152,152,LESC,3.768,586071,48.061,2.192
F12,LESC ER 153,153,LESC,3.696,586072,47.867,2.285
G1,LESC ER 154,154,LESC,3.441,586073,48.061,2.166
G2,LESC ER 155,155,LESC,3.503,586074,48.624,2.808
G3,LESC ER 176,176,LESC,3.445,586075,47.458,1.918
G4,LESC ER 177,177,LESC,3.599,586076,48.428,1.821
G5,LESC ER 178,178,LESC,3.49,586077,47.627,2.024
G6,LESC ER 179,179,LESC,3.563,586078,48.786,2.249
G7,LESC ER 180,180,LESC,3.122,586079,48.467,1.964
G8,SCHIZ ER 21,21,SCHS,3.633,586080,46.644,1.135
G9,SCHIZ ER 22,22,SCHS,3.194,586081,.,.
G10,SCHIZ ER 23,23,SCHS,3.302,586082,45.776,0.985
G11,SCHIZ ER 24,24,SCHS,3.244,586083,46.849,1.13
G12,SCHIZ ER 25,25,SCHS,3.747,586084,45.508,1.024
H1,SCHIZ ER 81,81,SCHS,3.558,586085,46.433,1.212
H2,SCHIZ ER 82,82,SCHS,3.778,586086,46.52,1.199
H3,SCHIZ ER 83,83,SCHS,3.227,586087,45.454,1.191
H4,SCHIZ ER 84,84,SCHS,3.558,586088,45.652,1.182
H5,SCHIZ ER 85,85,SCHS,3.784,586089,46.575,1.293
H6,SCHIZ ER 91,91,SCHS,3.426,586090,45.913,0.941
H7,SCHIZ ER 92,92,SCHS,3.469,586091,46,1.207
H8,SCHIZ ER 93,93,SCHS,3.458,586092,46.002,1.225
H9,SCHIZ ER 94,94,SCHS,3.534,586093,45.745,1.099
H10,SCHIZ ER 95,95,SCHS,3.314,586094,44.535,0.863
H11,SCHIZ ER 116,116,SCHS,3.44,586095,46.125,1.178
H12,SCHIZ ER 117,117,SCHS,3.481,586096,46.36,1.278
A1,SCHIZ ER 118,118,SCHS,3.714,587001,40.535,1.082
A2,SCHIZ ER 119,119,SCHS,3.263,587002,45.16,1.13
A3,SCHIZ ER 120,120,SCHS,3.732,587003,46.049,1.312
A4,SCHIZ ER 141,141,SCHS,3.359,587004,45.17,0.862
A5,SCHIZ ER 142,142,SCHS,3.574,587005,43.709,1.105
A6,SCHIZ ER 143,143,SCHS,3.779,587006,45.179,1.001
A7,SCHIZ ER 144,144,SCHS,3.781,587007,43.901,1.16
A8,SCHIZ ER 145,145,SCHS,3.816,587008,41.161,0.836
A9,SCHIZ ER 151,151,SCHS,3.638,587009,44.983,1.181
A10,SCHIZ ER 152,152,SCHS,3.587,587010,45.107,1.111
A11,SCHIZ ER 153,153,SCHS,3.106,587011,46.329,1.23
A12,SCHIZ ER 154,154,SCHS,3.509,587012,46.12,1.18
B1,SCHIZ ER 155,155,SCHS,3.256,587013,47.152,1.322
B2,SCHIZ ER 176,176,SCHS,3.668,587014,46.274,1.194
B3,SCHIZ ER 177,177,SCHS,3.729,587015,46.024,0.932
B4,SCHIZ ER 178,178,SCHS,3.98,587016,44.62,0.983
B5,SCHIZ ER 179,179,SCHS,3.825,587017,45.812,1.138
B6,SCHIZ ER 180,180,SCHS,3.501,587018,45.475,0.923
B7,LUP ER 21,21,LUPINE,3.943,587019,42.484,1.855
B8,LUP ER 22,22,LUPINE,3.79,587020,43.184,2.036
B9,LUP ER 23,23,LUPINE,3.973,587021,42.852,1.908
B10,LUP ER 24,24,LUPINE,3.276,587022,42.646,1.873
B11,LUP ER 25,25,LUPINE,3.364,587023,41.655,1.599
B12,LUP ER 26,26,LUPINE,3.473,587024,40.03,2.034
C1,LUP ER 27,27,LUPINE,3.221,587025,43.094,2.018
C2,LUP ER 28,28,LUPINE,3.728,587026,42.213,2.109
C3,LUP ER 29,29,LUPINE,3.401,587027,41.133,1.78
C4,LUP ER 30,30,LUPINE,3.694,587028,40.113,1.72
C5,LUP ER 46,46,LUPINE,3.497,587029,41.698,1.955
C6,LUP ER 47,47,LUPINE,3.561,587030,42.237,2.464
C7,LUP ER 48,48,LUPINE,3.352,587031,41.05,2.219
C8,LUP ER 49,49,LUPINE,3.76,587032,41.001,1.907
C9,LUP ER 50,50,LUPINE,3.425,587033,41.79,2.19
C10,LUP ER 176,176,LUPINE,3.515,587034,43.389,2.362
C11,LUP ER 177,177,LUPINE,3.668,587035,41.45,1.79
C12,LUP ER 178,178,LUPINE,3.835,587036,41.947,1.988
D1,LUP ER 179,179,LUPINE,3.705,587037,41.558,1.839
D2,LUP ER 180,180,LUPINE,3.558,587038,41.967,1.96
D3,LUP ER 81,81,LUPINE,3.513,587039,43.332,1.995
D4,LUP ER 84,84,LUPINE,3.369,587040,41.617,1.926
D5,LUP ER 85,85,LUPINE,3.566,587041,41.405,2.277
D6,LUP ER 116,116,LUPINE,3.757,587042,41.759,1.938
D7,LUP ER 117,117,LUPINE,3.302,587043,42.025,2.201
D8,LUP ER 118,118,LUPINE,3.217,587044,42.052,2.159
D9,LUP ER 119,119,LUPINE,3.226,587045,40.636,2.243
D10,LUP ER 120,120,LUPINE,3.827,587046,42.259,2.468
D11,LUP ER 136,136,LUPINE,3.611,587047,42.022,2.193
D12,LUP ER 137,137,LUPINE,3.603,587048,41.27,2.204
E1,LUP ER 138,138,LUPINE,3.462,587049,41.716,2.535
E2,LUP ER 139,139,LUPINE,3.326,587050,43.104,2.103
E3,LUP ER 140,140,LUPINE,3.742,587051,42.241,2.259
E4,SCHIZ + APHIDS 440D CONT.,SA-00,SCHS-APH,3.178,587052,43.441,0.833
E5,SCHIZ + APHIDS 440D +N,SA-N0,SCHS-APH,3.14,587053,44.565,2.066
E6,SCHIZ + APHIDS 440D +P,SA-0P,SCHS-APH,3.119,587054,42.182,0.827
E7,SCHIZ + APHIDS 440D +NP,SA-NP,SCHS-APH,3.441,587055,44.025,2.053
