"","species","plot.bigbio","year","plot.c","mass.c","bmass.c","plot.f","mass.f","bmass.f","perN","perC","frr","lrr","b.frr","b.lrr","CNratio","fun.group"
"1","Achmi",69,2013,15,2.2,239.082,11,13.1,220.489,1.462,43.349,-4.95454545454545,-1.78415486984284,0.0777682970696246,0.0809587823005597,29.6504787961696,"Forb"
"2","Achmi",69,2012,15,9.3,69.08,11,31.7,78.95,1.462,43.349,-2.40860215053763,-1.22630228072402,-0.142877822814129,-0.133549487423173,29.6504787961696,"Forb"
"3","Achmi",69,2009,15,8.7,58.72,11,2.4,26.15,1.462,43.349,0.724137931034483,1.28785428830664,0.55466621253406,0.808931193795328,29.6504787961696,"Forb"
"4","Achmi",69,2011,15,0.1,155.43,11,14.6,62.99,1.462,43.349,-145,-4.98360662170834,0.594737180724442,0.903219485860969,29.6504787961696,"Forb"
"5","Amoca",137,2007,51,599.6,NA,52,587.6,NA,1.895,48.682,0.0200133422281521,0.0202163219287204,NA,NA,25.689709762533,"Legume"
"6","Amoca",137,2011,51,195.3,1457.24,52,488.5,673.85,1.895,48.682,-1.50128008192524,-0.916802633600204,0.537584749252011,0.771291980446424,25.689709762533,"Legume"
"7","Amoca",137,2013,51,350.7,486.721,52,207.8,1499.817,1.895,48.682,0.407470772740234,0.523355078481005,-2.08147172610181,-1.12540731600952,25.689709762533,"Legume"
"8","Amoca",137,2012,51,34.7,953.95,52,16,807.57,1.895,48.682,0.538904899135447,0.774150964713032,0.1534461973898,0.166581520527134,25.689709762533,"Legume"
"9","Amoca",137,2010,51,204.5,758.16,52,420.8,4743.03,1.895,48.682,-1.05770171149144,-0.721589685940644,-5.2559749920861,-1.83353700580633,25.689709762533,"Legume"
"10","Amoca",137,2009,51,269.9,765.13,52,94.8,273.03,1.895,48.682,0.648758799555391,1.04628211076298,0.643158678917308,1.03046407477243,25.689709762533,"Legume"
"11","Andge",109,2007,44,18.6,NA,45,8.6,NA,0.777,45.733,0.537634408602151,0.771399377459694,NA,NA,58.8584298584299,"C-4"
"12","Andge",109,2012,44,59.9,476.97,45,105.1,365.13,0.777,45.733,-0.754590984974958,-0.562235772761502,0.234480155984653,0.267200141274152,58.8584298584299,"C-4"
"13","Andge",109,2009,44,128,1491.78,45,24.1,776.15,0.777,45.733,0.81171875,1.66981842342301,0.479715507648581,0.653379516335869,58.8584298584299,"C-4"
"14","Andge",109,2011,44,55.3,575.49,45,56,577.8,0.777,45.733,-0.0126582278481013,-0.0125787822068602,-0.00401397070322672,-0.00400593621577866,58.8584298584299,"C-4"
"15","Andge",109,2013,44,19.4,819.428,45,49.4,1065.915,0.777,45.733,-1.54639175257732,-0.934677358124594,-0.300803731383355,-0.262982328336934,58.8584298584299,"C-4"
"16","Andge",109,2010,44,104.6,504.89,45,48.3,590.41,0.777,45.733,0.538240917782027,0.772711990972296,-0.169383430054071,-0.156476627045627,58.8584298584299,"C-4"
"17","Asctu",308,2009,184,9.1,264.97,185,79.2,215.95,1.629,43.958,-7.7032967032967,-2.16370188529758,0.185002075706684,0.204569712623884,26.9846531614487,"Forb"
"18","Asctu",308,2013,184,19,183.631,185,86.6,293.382,1.629,43.958,-3.5578947368421,-1.51686083640195,-0.597671417135451,-0.468547204884132,26.9846531614487,"Forb"
"19","Koecr",268,2007,132,38.5,NA,135,10.3,NA,1.281,45.076,0.732467532467532,1.31851434605815,NA,NA,35.1881342701015,"C-3"
"20","Koecr",268,2010,132,12.9,396.35,135,54.8,269.71,1.281,45.076,-3.24806201550388,-1.44646288258634,0.319515579664438,0.384950351589786,35.1881342701015,"C-3"
"21","Koecr",268,2009,132,15.4,496.22,135,22,74.67,1.281,45.076,-0.428571428571429,-0.356674943938732,0.849522389262827,1.89394097172591,35.1881342701015,"C-3"
"22","Koecr",268,2011,132,23.7,410.53,135,61.9,133.88,1.281,45.076,-1.61181434599156,-0.960045131549465,0.673884977955326,1.12050513148682,35.1881342701015,"C-3"
"23","Koecr",268,2012,132,38,371.71,135,59.2,544.41,1.281,45.076,-0.557894736842105,-0.443335382163574,-0.464609507411692,-0.381588659096992,35.1881342701015,"C-3"
"24","Koecr",268,2013,132,26.8,257.676,135,62.6,312.798,1.281,45.076,-1.33582089552239,-0.848363390589242,-0.213919806268337,-0.193854633015827,35.1881342701015,"C-3"
"25","Lesca",29,2010,3,196.8,289.45,4,148.4,355.23,1.894,47.473,0.245934959349594,0.282276653884873,-0.227258593884954,-0.204782896485962,25.0649419218585,"Legume"
"26","Lesca",29,2007,3,83.1,NA,4,58.6,NA,1.894,47.473,0.29482551143201,0.349310005278435,NA,NA,25.0649419218585,"Legume"
"27","Lesca",29,2009,3,99.5,596.88,4,81.9,138.65,1.894,47.473,0.176884422110553,0.194658653305523,0.767708752177992,1.45976331610147,25.0649419218585,"Legume"
"28","Lesca",29,2012,3,23,333.88,4,3,304.28,1.894,47.473,0.869565217391304,2.03688192726104,0.0886546064454296,0.0928333168534355,25.0649419218585,"Legume"
"29","Lesca",29,2013,3,96.5,419.751,4,42.8,394.741,1.894,47.473,0.556476683937824,0.813004905757189,0.0595829432211001,0.0614318246894514,25.0649419218585,"Legume"
"30","Lesca",29,2011,3,130.4,275,4,145.7,167.43,1.894,47.473,-0.117331288343558,-0.110943063708606,0.391163636363636,0.496205744198119,25.0649419218585,"Legume"
"31","Liaas",167,2007,64,411.7,NA,63,109.6,NA,1.039,45.047,0.733786737915958,1.32345755426194,NA,NA,43.3561116458133,"Forb"
"32","Liaas",167,2009,64,108.3,100.33,63,5.2,65.79,1.039,45.047,0.951985226223453,3.03624652841956,0.344263929034187,0.421996901839615,43.3561116458133,"Forb"
"33","Liaas",167,2011,64,172.2,98.85,63,238.8,203.62,1.039,45.047,-0.386759581881533,-0.326969789524817,-1.05988872028326,-0.722651962062424,43.3561116458133,"Forb"
"34","Liaas",167,2010,64,124.1,97.03,63,12.9,74.01,1.039,45.047,0.896051571313457,2.26386038084294,0.237246212511594,0.270819989827833,43.3561116458133,"Forb"
"35","Liaas",167,2012,64,79.8,157.89,63,67.5,2343.75,1.039,45.047,0.154135338345865,0.167395906577279,-13.8441953258598,-2.69760890168492,43.3561116458133,"Forb"
"36","Liaas",167,2013,64,162.7,216.375,63,28.8,248.626,1.039,45.047,0.822987092808851,1.73153262708309,-0.14905141536684,-0.138936745791343,43.3561116458133,"Forb"
"37","Luppe",83,2009,29,24.3,227.8,27,79.1,536.02,1.351,44.319,-2.25514403292181,-1.18023652442711,-1.35302897278314,-0.855703422794427,32.8045891931902,"Legume"
"38","Luppe",83,2007,29,17.1,NA,27,59,NA,1.351,44.319,-2.45029239766082,-1.23845898039711,NA,NA,32.8045891931902,"Legume"
"39","Luppe",83,2010,29,8.3,284.52,27,63.4,393.06,1.351,44.319,-6.63855421686747,-2.03320834664063,-0.381484605651624,-0.323158722106526,32.8045891931902,"Legume"
"40","Luppe",83,2012,29,3.1,258.22,27,9.2,1000,1.351,44.319,-1.96774193548387,-1.08780137256389,-2.87266671830222,-1.35394334423556,32.8045891931902,"Legume"
"41","Luppe",83,2011,29,48.6,279.28,27,125.8,339.8,1.351,44.319,-1.58847736625514,-0.951069813359892,-0.216700085935262,-0.196142346441051,32.8045891931902,"Legume"
"42","Luppe",83,2013,29,32.8,408.562,27,46.7,407.575,1.351,44.319,-0.423780487804878,-0.353315649284754,0.00241579001473466,0.0024187127435138,32.8045891931902,"Legume"
"43","Panvi",230,2007,98,10.1,NA,100,50.8,NA,0.914,45.345,-4.02970297029703,-1.61536093073722,NA,NA,49.6115973741794,"C-4"
"44","Panvi",230,2010,98,5.2,169.39,100,109.2,458.84,0.914,45.345,-20,-3.04452243772342,-1.70877855835646,-0.996497816814776,49.6115973741794,"C-4"
"45","Panvi",230,2009,98,16.2,205.43,100,20.2,642.27,0.914,45.345,-0.246913580246914,-0.220671362168821,-2.12646643625566,-1.13990343272232,49.6115973741794,"C-4"
"46","Panvi",230,2011,98,91.6,469.08,100,26.6,654.28,0.914,45.345,0.709606986899563,1.23652005589243,-0.394815383303488,-0.332762064797461,49.6115973741794,"C-4"
"47","Panvi",230,2012,98,15.1,292.76,100,53.6,302.63,0.914,45.345,-2.54966887417219,-1.26685432425588,-0.0337136220795191,-0.0331577764870143,49.6115973741794,"C-4"
"48","Panvi",230,2013,98,69,524.73,100,24.2,630.368,0.914,45.345,0.649275362318841,1.04775387143462,-0.201318773464448,-0.183419931246864,49.6115973741794,"C-4"
"49","Petpu",291,2010,165,161,779.54,164,53.5,179.26,2.105,44.776,0.667701863354037,1.1017227110825,0.770043872027093,1.46986673619753,21.2712589073634,"Legume"
"50","Petpu",291,2012,165,40.5,532.89,164,35.4,722.04,2.105,44.776,0.125925925925926,0.134590153972765,-0.354951303270844,-0.303765515140357,21.2712589073634,"Legume"
"51","Petpu",291,2011,165,139.1,261.02,164,120.8,394.24,2.105,44.776,0.13156002875629,0.141056813428683,-0.510382346180369,-0.412362828165719,21.2712589073634,"Legume"
"52","Petpu",291,2007,165,22.5,NA,164,5.3,NA,2.105,44.776,0.764444444444444,1.4458084886523,NA,NA,21.2712589073634,"Legume"
"53","Petpu",291,2013,165,189.5,748.345,164,212.2,507.124,2.105,44.776,-0.119788918205805,-0.113140201657402,0.322339295378469,0.389108551962916,21.2712589073634,"Legume"
"54","Petpu",291,2009,165,102.6,686.18,164,162.6,261.02,2.105,44.776,-0.584795321637427,-0.460455264377041,0.619604185490688,0.966542951238646,21.2712589073634,"Legume"
"55","Poapr",237,2007,107,0.8,NA,106,1.2,NA,1.587,45.173,-0.5,-0.405465108108164,NA,NA,28.4643982356648,"C-3"
"56","Poapr",237,2010,107,6.3,111.83,106,0.4,113.48,1.587,45.173,0.936507936507936,2.75684036527164,-0.0147545381382456,-0.0146467489005537,28.4643982356648,"C-3"
"57","Poapr",237,2009,107,1.8,243.59,106,0.08,152.8,1.587,45.173,0.955555555555555,3.11351530921037,0.372716449772158,0.46635660735759,28.4643982356648,"C-3"
"58","Poapr",237,2012,107,0.3,108.55,106,0.6,123.36,1.587,45.173,-1,-0.693147180559945,-0.136434822662368,-0.127896013490719,28.4643982356648,"C-3"
"59","Schsc",280,2007,142,9,NA,143,68.6,NA,0.924,44.924,-6.62222222222222,-2.03106795739562,NA,NA,48.6190476190476,"C-4"
"60","Schsc",280,2011,142,41.7,293.75,143,131.4,147.53,0.924,44.924,-2.15107913669065,-1.14774497724575,0.497770212765957,0.688697520528893,48.6190476190476,"C-4"
"61","Schsc",280,2010,142,301.3,973.6,143,100.5,396.35,0.924,44.924,0.666445403252572,1.09794871863713,0.592902629416598,0.898702882390153,48.6190476190476,"C-4"
"62","Schsc",280,2012,142,192.5,307.57,143,64.7,251.64,0.924,44.924,0.663896103896104,1.09033495222098,0.181844783301362,0.200703208914595,48.6190476190476,"C-4"
"63","Schsc",280,2009,142,70.3,2111.84,143,29.3,744.08,0.924,44.924,0.58321479374111,0.875184282793598,0.647662701719827,1.04316632844643,48.6190476190476,"C-4"
"64","Schsc",280,2013,142,1.7,526.211,143,36,1200.676,0.924,44.924,-20.1764705882353,-3.05289068739394,-1.28173869417401,-0.824937737510062,48.6190476190476,"C-4"
"65","Sornu",282,2011,148,33.1,206.58,150,79.7,370.89,1.609,43.322,-1.40785498489426,-0.878736303413152,-0.79538193435957,-0.585217776108458,26.9247980111871,"C-4"
"66","Sornu",282,2007,148,1.3,NA,150,41.7,NA,1.609,43.322,-31.0769230769231,-3.46813686433726,NA,NA,26.9247980111871,"C-4"
"67","Sornu",282,2009,148,20,174.01,150,24.6,682.07,1.609,43.322,-0.23,-0.207014169384326,-2.91971725762887,-1.36601952304511,26.9247980111871,"C-4"
"68","Sornu",282,2012,148,156.7,567.43,150,104.6,519.74,1.609,43.322,0.332482450542438,0.404189597731153,0.0840456091500272,0.0877887071961534,26.9247980111871,"C-4"
"69","Sornu",282,2010,148,145.8,934.13,150,163.3,406.22,1.609,43.322,-0.12002743484225,-0.113353180401862,0.565135473649278,0.832720730075492,26.9247980111871,"C-4"
"70","Sornu",282,2013,148,81.2,424.03,150,27.6,457.926,1.609,43.322,0.660098522167488,1.07909947444453,-0.0799377402542273,-0.0769033915616711,26.9247980111871,"C-4"
